algo,dtype,n,fill_time_s,query_time_s
universal_chain,pair_dataset,300000,0.196881,0.0754221
perfect_fks_static,pair_dataset,300000,0.497747,0.060396
perfect_dynamic_bucket,pair_dataset,300000,0.51458,0.058234
cuckoo,pair_dataset,300000,0.0654214,0.0242579
universal_chain,pair_dataset,500000,0.33947,0.134242
perfect_fks_static,pair_dataset,500000,0.850372,0.105026
perfect_dynamic_bucket,pair_dataset,500000,0.883629,0.10483
cuckoo,pair_dataset,500000,0.105541,0.0404813
universal_chain,pair_dataset,700000,0.474471,0.192323
perfect_fks_static,pair_dataset,700000,1.22291,0.151201
perfect_dynamic_bucket,pair_dataset,700000,1.24711,0.151929
cuckoo,pair_dataset,700000,0.157178,0.0590416
universal_chain,pair_dataset,900000,0.615182,0.253104
perfect_fks_static,pair_dataset,900000,1.57412,0.197846
perfect_dynamic_bucket,pair_dataset,900000,1.61516,0.201417
cuckoo,pair_dataset,900000,0.203355,0.0828644
